"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C10","C0603","1762mil","1718mil","1762mil","1718mil","1742.512mil","1737.487mil","T","315.00","4.7uF"
"C9","C0603","2680mil","865mil","2680mil","865mil","2699.487mil","845.512mil","T","135.00","4.7uF"
"C8","C0603","2610mil","935mil","2610mil","935mil","2629.487mil","915.513mil","T","135.00","4.7uF"
"C7","C0603","2050mil","635mil","2050mil","635mil","2030.513mil","615.513mil","T","45.00","4.7uF"
"C6","C0603","1845mil","830mil","1845mil","830mil","1825.513mil","810.513mil","T","45.00","4.7uF"
"C5","C0603","2120mil","705.001mil","2120mil","705mil","2100.512mil","685.514mil","T","45.00","4.7uF"
"C3","C0603","2645.001mil","1670mil","2645mil","1670mil","2664.488mil","1689.487mil","T","225.00","4.7uF"
"C2","C0603","2575mil","899.999mil","2575mil","900mil","2594.487mil","880.512mil","T","135.00","4.7uF"
"C1","C0603","2010mil","810mil","2010mil","810mil","1990.512mil","790.512mil","T","45.00","4.7uF"
"C19","C0603","1915mil","1720mil","1915mil","1720mil","1895.512mil","1739.488mil","T","315.00","0.47uF"
"C4","C0603","1915mil","900mil","1915mil","900mil","1895.512mil","880.512mil","T","45.00","4.7uF"
"J3","87832-1420","175.354mil","1201.22mil","260mil","965mil","260mil","965mil","T","90.00","87832-1420"
"R6","R0603","2890mil","1320mil","2890mil","1320mil","2890mil","1347.559mil","T","270.00","200"
"R5","R0603","2951mil","1027mil","2951mil","1027mil","2931.513mil","1046.487mil","T","315.00","10k"
"R3","R0603","2371mil","571mil","2371mil","571mil","2371mil","598.559mil","T","270.00","10k"
"C27","C0603","3045mil","1544.999mil","3045mil","1545mil","3045mil","1517.44mil","T","90.00","0.1uF"
"C28","C0603","3300mil","1655mil","3300mil","1655mil","3300mil","1627.44mil","T","90.00","0.1uF"
"C29","C0603","3170mil","1685mil","3170mil","1685mil","3197.56mil","1685mil","T","180.00","0.1uF"
"C42","C0603","485mil","1975mil","485mil","1975mil","512.559mil","1975mil","T","180.00","4.7uF"
"C43","C0603","885mil","1975mil","885mil","1975mil","857.441mil","1975mil","T","360.00","0.1uF"
"C44","C0603","765mil","1975mil","765mil","1975mil","737.441mil","1975mil","T","360.00","0.1uF"
"R1","R0603","2170mil","605.001mil","2170mil","605mil","2170mil","632.56mil","T","270.00","10k"
"R2","R0603","3250mil","1655.001mil","3250mil","1655mil","3250mil","1682.56mil","T","270.00","10k"
"R4","R0603","2419mil","571.001mil","2419mil","571mil","2419mil","598.56mil","T","270.00","10k"
"R7","R0603","3170mil","1630mil","3170mil","1630mil","3142.44mil","1630mil","T","360.00","10k"
"U2","SOIC_8","3175mil","1440.001mil","3175mil","1440mil","3100mil","1334.686mil","T","360.00","M25PE40-VMN6TP"
"U8","SOT223","545mil","2165mil","545mil","2165mil","454.448mil","2052.796mil","T","90.00","MCP1826S-1202E/DB"
"D1","LED_0603_-_GREEN","2940mil","1320mil","2940mil","1320mil","2940mil","1290.472mil","T","90.00","APT1608CGCK"
"R8","R0603","2853mil","924mil","2853mil","924mil","2872.487mil","904.513mil","T","135.00","10k"
"R23","R0603","330mil","520mil","330mil","520mil","330mil","492.441mil","T","90.00","10k"
"R24","R0603","390mil","520mil","390mil","520mil","390mil","492.441mil","T","90.00","10k"
"R25","R0603","450mil","520mil","450mil","520mil","450mil","492.441mil","T","90.00","10k"
"C30","C0603","1493.645mil","1608.355mil","1493.645mil","1608.355mil","1474.157mil","1588.868mil","T","45.00","0.1uF"
"C31","C0603","1529mil","1573mil","1529mil","1573mil","1509.513mil","1553.513mil","T","45.00","0.1uF"
"C63","C0603","1123mil","1771mil","1123mil","1771mil","1095.441mil","1771mil","T","360.00","18pF"
"C64","C0603","1051mil","1832mil","1051mil","1832mil","1078.559mil","1832mil","T","180.00","18pF"
"D8","LED_1206_-_GREEN","519.213mil","1880.669mil","520mil","1880mil","564.488mil","1880.669mil","T","180.00","LED 3X1.5MM 568NM GN WTR CLR SMD"
"J4","FTSH-105-04-F-DV","520mil","1085mil","620mil","1165mil","620mil","1165mil","T","180.00","01R3656"
"Q1","SOT-23","735mil","1850mil","735mil","1850mil","697.598mil","1814.567mil","T","90.00","NDS352AP"
"R26","R0603","851mil","1715mil","851mil","1715mil","851mil","1687.441mil","T","90.00","10k"
"R27","R0603","1054mil","1308mil","1054mil","1308mil","1073.487mil","1327.487mil","T","225.00","10k"
"R28","R0603","310mil","1780mil","310mil","1780mil","310mil","1752.441mil","T","90.00","33"
"R29","R0603","315mil","1660mil","315mil","1660mil","315mil","1687.559mil","T","270.00","33"
"R30","R0603","550mil","1805mil","550mil","1805mil","577.559mil","1805mil","T","180.00","1.5k"
"R31","R0603","640mil","1835mil","640mil","1835mil","640mil","1807.441mil","T","90.00","10k"
"R32","R0603","1085mil","505mil","1085mil","505mil","1085mil","477.441mil","T","90.00","200"
"U10","TSQFP50P900X900X145-48L","1316mil","1421mil","1316mil","1421mil","1279.81mil","1610.304mil","T","315.00","LPC1343FBD48,151"
"U11","ABM3","1083.678mil","1659.322mil","1028mil","1715mil","1030.784mil","1712.216mil","T","315.00","12MHz"
"C39","C0603","850mil","815mil","850mil","815mil","877.559mil","815mil","T","180.00","0.1uF"
"R21","R0603","859mil","1487mil","859mil","1487mil","859mil","1459.441mil","T","90.00","10k"
"J1","10103594-0001LF_-_Simple","140mil","1725mil","140mil","1725mil","199.291mil","1776.181mil","T","360.00","USB Micro B"
"J2","PMOD_HEADER","3170mil","955mil","3120mil","1205mil","3120mil","1205mil","T","270.00","SSQ-106-02-G-D-RA-005"
"J5","PMOD_HEADER","3170mil","2030mil","3120mil","2280mil","3120mil","2280mil","T","270.00","SSQ-106-02-G-D-RA-005"
"R11","R0603","2450mil","160mil","2450mil","160mil","2450mil","187.559mil","T","270.00","10k"
"R12","R0603","2895mil","160mil","2895mil","160mil","2895mil","187.559mil","T","270.00","10k"
"R33","R0603","510mil","520mil","510mil","520mil","510mil","492.441mil","T","90.00","10k"
"R34","R0603","570mil","520mil","570mil","520mil","570mil","492.441mil","T","90.00","10k"
"R35","R0603","630mil","520mil","630mil","520mil","630mil","492.441mil","T","90.00","10k"
"R36","R0603","690mil","520mil","690mil","520mil","690mil","492.441mil","T","90.00","10k"
"R37","R0603","750mil","520mil","750mil","520mil","750mil","492.441mil","T","90.00","10k"
"SW1","ADE08S04","450mil","240mil","100mil","75mil","100mil","75mil","T","360.00","ADE08S04"
"DC8","LED_0603_-_GREEN","1242.428mil","108mil","1242.428mil","108mil","1242.428mil","137.528mil","T","270.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC9","LED_0603_-_GREEN","1180.571mil","108mil","1180.571mil","108mil","1180.571mil","137.528mil","T","270.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC10","LED_0603_-_GREEN","995mil","108mil","995mil","108mil","995mil","137.528mil","T","270.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC11","LED_0603_-_GREEN","1118.714mil","108mil","1118.714mil","108mil","1118.714mil","137.528mil","T","270.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC12","LED_0603_-_GREEN","1366.143mil","108mil","1366.143mil","108mil","1366.143mil","137.528mil","T","270.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC13","LED_0603_-_GREEN","1428mil","108mil","1428mil","108mil","1428mil","137.528mil","T","270.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC14","LED_0603_-_GREEN","1304.285mil","108mil","1304.285mil","108mil","1304.285mil","137.528mil","T","270.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"DC15","LED_0603_-_GREEN","1056.857mil","108mil","1056.857mil","108mil","1056.857mil","137.528mil","T","270.00","LED 1.6X0.8MM 570NM GRN CLR SMD"
"R47","R0603","1255mil","225mil","1255mil","225mil","1255mil","197.441mil","T","90.00","200"
"R48","R0603","1190mil","225mil","1190mil","225mil","1190mil","197.441mil","T","90.00","200"
"R49","R0603","995mil","223mil","995mil","223mil","995mil","195.441mil","T","90.00","200"
"R50","R0603","1130mil","220mil","1130mil","220mil","1130mil","192.441mil","T","90.00","200"
"R51","R0603","1366.143mil","223mil","1366.143mil","223mil","1366.143mil","195.441mil","T","90.00","200"
"R52","R0603","1428mil","223mil","1428mil","223mil","1428mil","195.441mil","T","90.00","200"
"R53","R0603","1304.285mil","223mil","1304.285mil","223mil","1304.285mil","195.441mil","T","90.00","200"
"R54","R0603","1056.857mil","223mil","1056.857mil","223mil","1056.857mil","195.441mil","T","90.00","200"
"D4","SOD-123","140mil","1955mil","140mil","1955mil","202.992mil","1955mil","T","270.00","RB161M-20TR"

